Pesquisador,Departamento,Titulo do artigo,Ano de Publicação,País de publicação,DOI,Titulo do periódico/revista,ISSN,Volume,Fascículo,Série,Página inicial,Página final,Local de publicação,Autores,Ínicio
219,Botanica,"Florística e fitossociologia de um campo pastejado na Fazenda Experimental da Ressacada, Florianópolis, Santa Catarina, Brasil",2018,,,REVISTA BRASILEIRA DE BIOCIÊNCIAS,16792343,16,,1,1,10,,"DELLA, A. P.;DELLA, ALINE POSSAMAI;BFG (The Brazil Flora Group) ;FAGA-PACHECO, F. ;SCHMIDT, W. ;MICHELENA, E. ;MAFRA, G. ;HADDAD, M. F. ;VIEIRA, P. H. M. ;ZANNIN, A. ;TREVISAN, R.",2019
219,Botanica,Pteridophytes as ecological indicators: an overview,2019,,10.1590/2236-8906-52/2018,HOEHNEA,22368906,46,,1,1/e522018,25,,"DELLA, A. P.;DELLA, ALINE POSSAMAI;BFG (The Brazil Flora Group) ;FALKENBERG, D. B.",2019
219,Botanica,"Pteridófitas usadas na legislação como indicadoras de estágios sucessionais no Estado de Santa Catarina, Brasil",2019,,10.1590/2236-8906-57/2018,HOEHNEA,22368906,46,,2,1/ e572018,14,,"DELLA, A. P.;DELLA, ALINE POSSAMAI;BFG (The Brazil Flora Group) ;FALKENBERG, D. B.",2019
219,Botanica,"Licófitas e samambaias do Parque Estadual Monte Alegre (PEMA), Pará, Brasil",2019,,10.1590/2236-8906-73/2018,HOEHNEA,22368906,46,,3,1,9,,"DELLA, ALINE POSSAMAI ;FERREIRA, IVONETE ;MACIEL, SEBASTIÃO ;PIETROBOM, MARCIO ROBERTO",2019
219,Botanica,Jamesonia Ã?intermedia: A New Hybrid Between J. biardii and J. insignis (Pteridaceae) from Brazil,2020,,10.1640/0002-8444-110.1.20,AMERICAN FERN JOURNAL,28444,110,,1,20,28,,"DELLA, ALINE POSSAMAI ;MYNSSEN, CLAUDINE M. ;PRADO, JEFFERSON",2019
219,Botanica,Jamesonia (Pteridaceae) in Brasil,2020,,10.1590/1676-0611-BN-2020-0986,BIOTA NEOTROPICA (ONLINE. EDIÇÃO EM INGLÊS),16760611,20,,2,1/ e20200986,24,,"DELLA, A. P. ;PRADO, J.",2019
219,Botanica,Tryonia (Pteridaceae) in Brazil,2020,,10.1007/s40415-020-00606-7,Brazilian Journal of Botany,18069959,43,,2,341,354,,"DELLA, A. P. ;PRADO, J.",2019
219,Botanica,Brazilian Flora 2020: Leveraging the power 1 of a collaborative scientific network,2021,,,TAXON,400262,,,,,,,"BFG, T. B. F. G. ;DELLA, A. P.",2019
220,Botanica,"Effects of temperature, salinity, irradiance and nutrients on the development of carposporelings and tetrasporophytes in Gracilaria domingensis (Kütz.) Sonder ex Dickie (Rhodophyta, Gracilariales).",2012,,10.1515/bot-2011-0074,Botanica Marina (Print),68055,55,,3,253,259,,"RAMLOV, F ;SOUZA, J. M. C ;MARASCHIN, M ;HORTA, P.A ;YOKOYA, N. S. ;FARIA, A. V. F.;FARIA, ANDRÉ V. F.",2017
220,Botanica,"Physiological assessment of the mariculture potential of a Gracilaria caudata (Gracilariales, Rhodophyta) variant",2016,,10.1007/s10811-015-0761-8,Journal of Applied Phycology,15735176,28,,4,2445,2452,,"FARIA, ANDRÉ V. F. ;PLASTINO, ESTELA M.",2017
220,Botanica,"Ecotypes of Gracilaria caudata (Gracilariales, Rhodophyta): physiological and morphological approaches considering life history phases",2016,,10.1007/s10811-016-1018-x,JOURNAL OF APPLIED PHYCOLOGY,9218971,29,,2,707,719,,"FARIA, ANDRÉ V. F. ;BONOMI-BARUFI, JOSÉ ;PLASTINO, ESTELA M.",2017
220,Botanica,"Growth and accumulation of carotenoids and nitrogen compounds in Gracilaria domingensis (Kütz.) Sonder ex Dickie (Gracilariales, Rhodophyta) cultured under different irradiance and nutrient levels",2011,,10.1590/S0102-695X2011005000081,Revista Brasileira de Farmacognosia (Impresso),0102695X,21,,2,255,261,,"RAMLOV, F ;SOUZA, J. M. C ;FARIA, A. V. F.;FARIA, ANDRÉ V. F. ;MARASCHIN, M ;HORTA, P.A ;YOKOYA, N. S.",2017
221,Botanica,"The state of the art of school gardens as a pedagogical tool for the new environmental rationale paradigm in Butanta, Sao Paulo, Brazil",2020,,10.34117/bjdv6n4-041,Brazilian Journal of Development,25258761,6,,4,17184,17219,,"LAHAM, BEATRIZ SINELLI ;AIRES, FRANCISCO MELO ;SOTO, GABRIEL AKIRA TESHIMA ;ARRUDA, GUSTAVO LOPUMO",2020
222,Botanica,"Wood anatomy and conductivity in lianas, shrubs and trees of Bignoniaceae",2017,,10.1163/22941932-20170177,IAWA Journal,22941932,38,,3,412,432,,"GEROLAMO, C. S.;GEROLAMO, CAIAN SOUZA;GEROLAMO, C.S.;GEROLAMO, CAIAN S. ;ANGYALOSSY, V.",2017
222,Botanica,Local dynamic variation of lianas along topography maintains unchanging abundance at the landscape scale in central amazonia,2018,,10.1111/jvs.12644,JOURNAL OF VEGETATION SCIENCE,11009233,29,,4,651,661,,"GEROLAMO, CAIAN SOUZA ;NOGUEIRA, ANSELMO ;COSTA, FLAVIA REGINA CAPELLOTTO ;CASTILHO, CAROLINA V. ;ANGYALOSSY, VERONICA",2017
222,Botanica,Higher rates of liana regeneration after canopy fall drives species abundance patterns in central Amazonia,2020,,10.1111/1365-2745.13345,JOURNAL OF ECOLOGY,13652745,108,,,1311,1321,,"ROCHA, E.X. ;SCHIETTI, J. ;GEROLAMO, C.S. ;BURNHAM, R.J. ;NOGUEIRA, A.",2017
