Gênero,Pesquisador
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
F,1
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
M,2
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
,3
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,4
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,5
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
M,6
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,7
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
F,8
