Pesquisador,Departamento,Titulo do artigo,Ano de Publicação,País de publicação,DOI,Titulo do periódico/revista,ISSN,Volume,Fascículo,Série,Página inicial,Página final,Local de publicação,Autores,Inicio,Data
70,Zoologia,CIENCIAS NA EDUCACAO INFANTIL E SERIES INICIAIS: EXPERIENCIAS DE BRINCAR E APRENDER,2014,,,Revista de Ensino de Biologia da Associação Brasileira de Ensino de Biologia (SBEnBio),19821867,7,,,6923,6931,,"SALOMAO, S. R. ;AMARAL, M. B. ;SOARES, K. D. A.;SOARES, KARLA D. A.;SOARES, KARLA DIAMANTINA DE ARAÚJO;A. SOARES, KARLA D.",2019,
70,Zoologia,ENTRE TRACOS E CORES: DESCOBRINDO AS IMPRESSOES E CONCEPCOES DE CRIANCAS SOBRE OS ANIMAIS,2014,,,Revista de Ensino de Biologia da Associação Brasileira de Ensino de Biologia (SBEnBio),19821867,7,,,4449,4456,,"SOARES, K. D. A.;SOARES, KARLA D. A.;SOARES, KARLA DIAMANTINA DE ARAÚJO;A. SOARES, KARLA D. ;MACHADO, R. G. T.",2019,
70,Zoologia,"SCYLIORHINUS UGOI,/EM A NEW SPECIES OF CATSHARK FROM BRAZIL (CHONDRICHTHYES: CARCHARHINIFORMES: SCYLIORHINIDAE) /STRONG",2015,,10.11646/zootaxa.3937.2.6,Zootaxa (Online),11755334,3937,,2,347,361,,"SOARES, KARLA D. A. ;GADIG, OTTO F. B. ;GOMES, ULISSES L.",2019,
70,Zoologia,ASTRONOMIA PARA DEFICIENTES VISUAIS: INOVANDO EM MATERIAIS DIDATICOS ACESSIVEIS,2015,,,REEC. Revista Electrónica de Enseñanza de las Ciencias,15791513,14,,3,377,391,,"SOARES, K. D. A. ;CASTRO, H. C. ;DELOU, C. M. C.",2019,
70,Zoologia,"TAXONOMIC REVIEW OF CATSHARKS OF THE SCYLIORHINUS/EM HAECKELII/EM GROUP, WITH THE DESCRIPTION OF A NEW SPECIES (CHONDRICHTHYES: CARCHARHINIFORMES: SCYLIORHINIDAE)/STRONG",2016,,10.11646/zootaxa.4066.5.1,ZOOTAXA,11755326,4066,,5,501,,,"SOARES, KARLA D. A. ;GOMES, ULISSES L. ;CARVALHO, MARCELO R. DE",2019,
70,Zoologia,CIENCIAS NA EDUCACAO INFANTIL E ANOS INICIAIS: EXPERIMENTANDO A VIDA COM QUEM LEVA A VIDA ENSINANDO,2018,,,Sede de ler,21795258,5,,5,23,29,,"SALOMAO, S. R. ;AMARAL, M. B. ;SOARES, K. D. A.",2019,
70,Zoologia,"THE CATSHARK GENUS SCYLIORHINUS (CHONDRICHTHYES: CARCHARHINIFORMES: SCYLIORHINIDAE): TAXONOMY, MORPHOLOGY AND DISTRIBUTION",2019,,10.11646/zootaxa.4601.1.1,ZOOTAXA,11755326,4601,,1,1,147,,"SOARES, KARLA D. A. ;CARVALHO, MARCELO R. DE",2019,
70,Zoologia,SEXUALLY DIMORPHIC BODY PROPORTIONS IN THE CATSHARK GENUS (CHONDRICHTHYES: CARCHARHINIFORMES: SCYLIORHINIDAE),2019,,10.1111/jfb.14011,JOURNAL OF FISH BIOLOGY,221112,95,,2,683,685,,"SOARES, K. D. A.",2019,
70,Zoologia,"A NEW SPECIES OF PARMATURUS (CHONDRICHTHYES: CARCHARHINIFORMES: SCYLIORHINIDAE) FROM BRAZIL, SOUTHWESTERN ATLANTIC",2019,,10.1643/CI-18-152,COPEIA,458511,107,,2,314,322,,"SOARES, KARLA DIAMANTINA DE ARAÚJO ;CARVALHO, MARCELO RODRIGUES DE ;SCHWINGEL, PAULO RICARDO ;GADIG, OTTO BISMARCK FAZZANO",2019,
70,Zoologia,COMPARATIVE ANATOMY OF THE CLASPER OF CATSHARKS AND ITS PHYLOGENETIC IMPLICATIONS (CHONDRICHTHYES: CARCHARHINIFORMES: SCYLIORHINIDAE),2020,,10.1002/jmor.21123,JOURNAL OF MORPHOLOGY,3622525,2020,,,1,17,,"A. SOARES, KARLA D.",2019,
70,Zoologia,"PHYLOGENETIC RELATIONSHIP OF CATSHARK SPECIES OF THE GENUS SCYLIORHINUS (CHONDRICHTHYES, CARCHARHINIFORMES, SCYLIORHINIDAE) BASED ON COMPARATIVE MORPHOLOGY",2020,,10.3897/zse.96.52420,Mitteilungen aus dem Museum fur Naturkunde in Berlin. Zoologische Reihe,14351935,96,,2,345,395,,"SOARES, KARLA D. A. ;DE CARVALHO, MARCELO R.",2019,
70,Zoologia,"CORRIGENDA: PHYLOGENETIC RELATIONSHIP OF CATSHARK SPECIES OF THE GENUS SCYLIORHINUS (CHONDRICHTHYES, CARCHARHINIFORMES, SCYLIORHINIDAE) BASED ON COMPARATIVE MORPHOLOGY. ZOOSYSTEMATICS AND EVOLUTION 96(2): 345-395. HTTPS://DOI.ORG/10.3897/ZSE.96.52420",2020,,10.3897/zse.96.56272,Zoosystematics and Evolution,18600743,96,,2,637,637,,"SOARES, KARLA D. A. ;CARVALHO, MARCELO R. DE",2019,
70,Zoologia,UNIVERSITY EXTENSION AND TEACHER TRAINING IN BRAZIL: THE ZOOLOGY SUMMER COURSE,2020,,10.36661/2358-0399.2020v11i3.11475,REVISTA BRASILEIRA DE EXTENSÃO UNIVERSITÁRIA,23580399,11,,3,315,330,,"SOARES, K. D. A. ;JECKEL, A. ;SILVA, G. M. ;GIOVANNETTI, V. ;MATHUBARA, K.",2019,
70,Zoologia,_X0093_ANATOMIA COMPARADA DE PEIXES _X0096_ UM ENFOQUE EVOLUTIVO' INTENSIVE TRAINING COURSE BRINGS ON A NEW GENERATION OF SKILLED ICHTHYOLOGISTS,2020,,,BOLETIM - SOCIEDADE DE ICTIOLOGIA DE LONDRINA,18081436,133,,,17,49,,"GIOVANNETTI, V. ;SOARES, KARLA D. A. ;MATHUBARA, K.",2019,
70,Zoologia,"SCAPULOCORACOID MORPHOLOGY IN THE SKATES OF THE TRIBE RIORAJINI (ELASMOBRANCHII, RAJIFORMES, ARHYNCHOBATIDAE)",2020,,,ZOOMORPHOLOGY,0720213X,2020,,,1,,,"SOARES, K. D. A. ;GOMES, U.L. ;SANTOS, H. R. S.",2019,
70,Zoologia,WHY WE SHOULDN_X0092_T BLAME WOMEN FOR GENDER DISPARITY IN ACADEMIA: PERSPECTIVES OF WOMEN IN ZOOLOGY,2021,,,Zoologia,19844689,38,,,e61968,,,"SLOBODIAN, V. ;COSTA, E. R. ;PEREIRA, K. R. ;D_x0092_ANGIOLELLA, A. B. ;SOUSA, S. A. ;DIELE-VIEGAS, L. M. ;SOARES, KARLA D. A. ;FALASCHI, R. L. ;PRADO, L. R. ;CAMELIER, P. ;GUEDES, T. B. ;LEAL, L. C. ;HSIOU, A. S. ;DEL-RIO, G.",2019,
70,Zoologia,REDESCRIPTION OF THE RIO SKATE RIORAJA AGASSIZII (CHONDRICHTHYES: RAJIFORMES: ARHYNCHOBATIDAE) WITH NOTES ON INTERNAL ANATOMY AND INTRASPECIFIC VARIATION,2021,,10.1590/1982-0224-2021-0059,Neotropical Ichthyology,19820224,19,,2,e210059,,,"SOARES, K. D. A. ;MOREIRA, R. A. ;GOMES, U.L.",2019,
70,Zoologia,BRANCHING PATTERNS OF THE AFFERENT BRANCHIAL ARTERIES AND THEIR PHYLOGENETIC SIGNIFICANCE IN RAYS (BATOIDEA),2021,,10.1038/s41598-021-02145-x,Scientific Reports,20452322,11,,,23236,,,"SOARES, K. D. A. ;TOLEDO-PIZA, M.",2019,
70,Zoologia,"PEIXE DA VEZ: SCHROEDERICHTHYS SAURISQUALUS SOTO, 2001",2021,,,BOLETIM - SOCIEDADE DE ICTIOLOGIA DE LONDRINA,18081437,136,,,57,61,,"ZANINI, F. ;SOARES, K. D. A.",2019,
70,Zoologia,ALIPIANAS: ANTONIA AMARAL CAMPOS,2021,,,BOLETIM - SOCIEDADE DE ICTIOLOGIA DE LONDRINA,18081437,136,,,72,80,,"DOPAZO, M. ;DUTRA, G. ;PASTANA, M. N. ;PRESTI, P. ;TREVISAN, J. P. ;SOARES, K. D. A.",2019,
70,Zoologia,TAXONOMY AND MORPHOLOGY OF THE SKATE GENUS ATLANTORAJA (RAJIFORMES: ARHYNCHOBATIDAE),2021,,10.1590/1982-0224-2021-0096,Neotropical Ichthyology,19820224,19,,4,1,39,,"SOARES, K. D. A. ;MOREIRA, R. A. ;SILVA, R. ;GOMES, U. L.",2019,
70,Zoologia,MULHERES QUE PESQUISAM ELASMOBRANQUIOS E FORMAM REDES: AS EXPERIENCIAS DO SIMPOSIO ONLINE ELASMULHERES.,2022,,,BOLETIM - SOCIEDADE BRASILEIRA DE ICTIOLOGIA,18081436,138,,,5,16,,"SOARES, K. D. A. ;WOSNICK, N. ;LANA, F. ;LOPES, C. ;MARTINS, M. ;PETEAN, F. ;RANGEL, B. ;REGO, M. ;ROLIM, F. ;ROQUE, P.",2019,
70,Zoologia,COMBINED PHYLOGENY AND NEW CLASSIFICATION OF CATSHARKS (CHONDRICHTHYES: ELASMOBRANCHII: CARCHARHINIFORMES),2022,,,Zoological Journal of the Linnean Society,10963642,2022,,,1,54,,"SOARES, K. D. A. ;MATHUBARA, K.",2019,
70,Zoologia,"DESCRIPTION OF THE CHONDROCRANIUM OF THE SILKY SHARK CARCHARHINUS FALCIFORMIS WITH COMMENTS ON THE CRANIAL TERMINOLOGY AND PHYLOGENETIC IMPLICATIONS IN CARCHARHINIDS (CHONDRICHTHYES, CARCHARHINIFORMES, CARCHARHINIDAE)",2021,,10.1002/jmor.21339,JOURNAL OF MORPHOLOGY,3622525,2021,,,1,16,,"LANA, F. ;SOARES, K. D. A. ;HAZIN, F. ;GOMES, U. L.",2019,
70,Zoologia,CIENCIAS NA EDUCACAO INFANTIL E SERIES INICIAIS: EXPERIENCIAS DE BRINCAR E APRENDER,2014,,,Revista de Ensino de Biologia da Associação Brasileira de Ensino de Biologia (SBEnBio),19821867,7,,,6923,6931,,"SALOMAO, S. R. ;AMARAL, M. B. ;SOARES, K. D. A.;SOARES, KARLA D. A.;SOARES, KARLA DIAMANTINA DE ARAÚJO;A. SOARES, KARLA D.",2019,
