Inicio GRADUACAO,Fim GRADUACAO,Inicio MESTRADO,Fim MESTRADO,Inicio DOUTORADO,Fim DOUTORADO,Inicio POS-DOUTORADO,Fim POS-DOUTORADO,Pesquisador,Departamento,Nome de Citação,Titulo do artigo,Ano de Publicação,País de publicação,DOI,Titulo do periódico/revista,ISSN,Volume,Fascículo,Série,Página inicial,Página final,Local de publicação,Autores,Inicio,Data
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",ESPECIES MADEIREIRAS. PRIMEIRA TENTATIVA DE AVALIAR A RESISTENCIA AOS IMPACTOS DA EXPLORACAO,1993,Brasil,,Ciência Hoje,1018515,16,3,,11,13,,"MARTINI, A. M. Z. ;ROSA, N. A. ;UHL, C.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",INFLUENCIA DO TAMANHO DO HOSPEDEIRO (SCAPTERISCUS BORELLII: GRYLLOTALPIDAE:ORTHOPTERA) SOBRE A PRODUCAO EXPERIMENTAL DO PARASITOIDE (ORMIA DEPLETA: TACHINIDAE:DIPTERA),1993,Brasil,,Científica (São Paulo),1000039,21,2,,339,343,,"FOWLER, H. G. ;MARTINI, A. M. Z.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",AN ATTEMPT TO PREDICT WHICH AMAZONIAN TREE SPECIES MAY BE THREATENED BY LOGGING ACTIVITIES,1994,,,Environmental Conservation,3768929,21,2,,152,162,,"MARTINI, A. M. Z. ;ROSA, N. A. ;UHL, C.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.","LARVAL DISPERSION OF ORMIA DEPLETA (TOWNS.) (DIPT., TACHINIDAE)",1993,Estados Unidos,,Journal of Applied Entomology,9312048,115,,,107,110,,"FOWLER, H. G. ;MARTINI, A. M. Z.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",SPATIAL STRUCTURE OF ASPIDOSPERMA POLYNEURON IN TWO SEMI-DECIDUOUS FORESTS IN SOUTHEAST BRAZIL,2004,,,Journal of Vegetation Science,11009233,15,1,,41,48,Suécia,"FONSECA, M. G. ;MARTINI, A. M. Z. ;SANTOS, F. A. M.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.","COMMUNITY STRUCTURE OF ALL VASCULAR PLANTS IN TREEFALL GAPS AND FIRE-DISTURBED AREAS IN THE ATLANTIC RAINFOREST, SOUTHERN BAHIA, BRAZIL.",2007,,,Brazilian Journal of Botany,1008404,30,xx,2,303,313,São Paulo,"MARTINI, A. M. Z. ;SANTOS, F. A. M. ;PRADO, P. I. ;JARDIM, J. G.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",EFFECTS OF DISTINCT TYPES OF DISTURBANCE ON SEED RAIN IN THE ATLANTIC FOREST OF NE BRAZIL,2007,,10.1007/s11258-006-9192-6,Plant Ecology (Dordrecht),13850237,190,xx,1,81,95,Holanda,"MARTINI, A. M. Z. ;Martini, Adriana Maria Zanforlin ;SANTOS, F. A. M.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.","PADRAO ESPACIAL DA PALMEIRA JUCARA (EUTERPE EDULIS MART.), NA MATA ATLANTICA DO SUL DA BAHIA",2003,Brasil,,Agrotrópica,1033816,15,2,,107,112,"Ilhéus, Bahia, Brasil","SILVA, M. G. C. P. C. ;CARVALHO, A. M. V. ;MARTINI, A. M. Z. ;ARAÚJO, Q. R.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",A HOT-POINT WITHIN A HOT-SPOT: A HIGH DIVERSITY SITE IN BRAZIL'S ATLANTIC FOREST,2007,,10.1007/s10531-007-9166-6,Biodiversity and Conservation,9603115,16,,11,3111,3128,,"MARTINI, A. M. Z. ;FIASCHI, P. ;AMORIM, A. M. A. ;PAIXÃO, J. L.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",REPEATED DISTURBANCES AND CANOPY DISTURBANCE REGIME IN A TROPICAL SEMI-DECIDUOUS FOREST.,2008,,10.1017/s0266467407004658,Journal of Tropical Ecology,2664674,24,,,85,93,,"LIMA, R. A. F. ;MARTINI, A. M. Z. ;GANDOLFI, S. ;RODRIGUES, R. R.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",THE NEED FOR FULL INVENTORIES OF TREE MODES OF DISTURBANCE TO IMPROVE FOREST DYNAMICS COMPREHENSION: AN EXAMPLE FROM A SEMIDECIDUOUS FOREST IN BRAZIL,2008,,10.1016/j.foreco.2007.11.004,Forest Ecology and Management,3781127,255,,2023-06-05 00:00:00,1479,1488,,"MARTINI, A. M. Z. ;LIMA, R. A. F. ;FRANCO, G. C. D. ;RODRIGUES, R. R.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.","ESTRUTURA POPULACIONAL DE EUTERPE EDULIS MART. NO SUL DA BAHIA, BRASIL",2009,,,Brazilian Journal of Botany,1008404,32,,2,393,403,,"SILVA, M. G. C. P. C. ;MARTINI, A. M. Z. ;ARAÚJO, Q. R.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.","STRUCTURE, DIVERSITY, AND SPATIAL PATTERNS IN A PERMANENT PLOT OF HIGH RESTINGA FOREST IN SOUTHEASTERN BRAZIL",2011,,,Acta Botanica Brasílica (Impresso),1023306,25,,3,633,645,,"LIMA, R. A. F. ;OLIVEIRA, A. A. ;MARTINI, A. M. Z. ;SAMPAIO, D. ;SOUZA, V. C. ;RODRIGUES, R. R.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",IMPROVING METHODS IN GAP ECOLOGY: REVISITING SIZE AND SHAPE DISTRIBUTIONS USING A MODEL SELECTION APPROACH,2013,,10.1111/j.1654-1103.2012.01483.x,Journal of Vegetation Science,11009233,24,,3,484,495,,"DE LIMA, RENATO AUGUSTO F. ;PRADO, PAULO INÁCIO ;MARTINI, ADRIANA MARIA Z. ;FONSECA, LEANDRO J. ;GANDOLFI, SÉRGIUS ;RODRIGUES, RICARDO R.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",HABITAT SPECIALIZATION AND PHYLOGENETIC STRUCTURE OF TREE SPECIES IN A COASTAL BRAZILIAN WHITE-SAND FOREST,2014,,10.1093/jpe/rtt073,J PLANT ECOL-UK,17529921,7,,2,134,144,,"OLIVEIRA, A. A. ;SOUZA, V. C. ;VICENTINI, A. ;CHAVE, J. ;CASTANHO, C. T. ;DAVIES, S. J. ;MARTINI, A. M. Z. ;LIMA, R. A. F. ;RODRIGUES, R. R. ;IRIBAR, A.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",CLUSTER PLANTING FACILITATES SURVIVAL BUT NOT GROWTH IN EARLY DEVELOPMENT OF RESTORED TROPICAL FOREST,2016,,10.1016/j.baae.2016.04.006,Basic and Applied Ecology (Print),14391791,17,,,489,496,,"BERTONCELLO, RICARDO ;OLIVEIRA, ALEXANDRE A. ;HOLL, KAREN D. ;PANSONATO, MARCELO P. ;MARTINI, ADRIANA M.Z.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",WHERE DO SEEDLINGS FOR RESTINGA RESTORATION COME FROM AND WHERE SHOULD THEY COME FROM?,2016,,10.1016/j.ncon.2016.09.002,Natureza & Conservação,16790073,xxx,,,10.1016/j.ncon.,,,"FREITAS, JULIA DIAS DE ;BERTONCELLO, RICARDO ;OLIVEIRA, ALEXANDRE ADALARDO DE ;MARTINI, ADRIANA MARIA ZANFORLIN",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",CONTRIBUTION OF AGROFORESTS TO LANDSCAPE CARBON STORAGE,2015,,10.1007/s11027-013-9530-7,Mitigation and Adaptation Strategies for Global Change,13812386,20,,7,1175,1190,,"SCHROTH, GÖTZ ;LÔBO, RENATO N. ;BEDE, LUCIO C. ;PAIVA, ARTUR O. ;CASSANO, CAMILA R. ;AMORIM, ANDRÉ M. ;Faria, Deborah ;MARIANO-NETO, EDUARDO ;MARTINI, ADRIANA M. Z. ;SAMBUICHI, REGINA H. R.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.","COMMUNITY STRUCTURE AND SPECIES COMPOSITION OF A PERIODICALLY FLOODED RESTINGA FOREST IN CARAGUATATUBA, SAO PAULO, BRAZIL",2018,,10.1590/1676-0611-bn-2017-0477,BIOTA NEOTROPICA (ONLINE. EDIÇÃO EM INGLÊS),16760611,19,,1,xxx,xxx,,"PANSONATO, MARCELO PETRATTI ;LIMA, RENATO AUGUSTO FERREIRA DE ;OLIVEIRA, ALEXANDRE ADALARDO DE ;BERTONCELLO, RICARDO ;MARTINI, ADRIANA MARIA ZANFORLIN",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.","RESTORING TROPICAL FOREST COMPOSITION IS MORE DIFFICULT, BUT RECOVERING TREE-COVER IS FASTER, WHEN NEIGHBOURING FORESTS ARE YOUNG.",2020,,10.1007/s10980-020-01023-7,LANDSCAPE ECOLOGY,9212973,xxx,,,xxx,,,"TOLEDO, R. M. ;PERRING, M. P. ;VERHEYEN, K. ;MARTINI, A. M. Z. ;FERREIRA, M. P. ;SANTOS, R. F.",,
1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0,1,Ecologia,"MARTINI, A. M. Z.",FOREST STRUCTURE IN A MOSAIC OF RAINFOREST SITES: THE EFFECT OF FRAGMENTATION AND RECOVERY AFTER CLEAR CUT,2009,,10.1016/j.foreco.2009.02.032,Forest Ecology and Management,3781127,257,,11,2226,2234,,"Faria, Deborah ;MARIANO-NETO, EDUARDO ;MARTINI, ADRIANA MARIA ZANFORLIN ;ORTIZ, JOSÉ VICENTE ;MONTINGELLI, RODRIGO ;ROSSO, SERGIO ;PACIENCIA, MATEUS LUÍS BARRADAS ;BAUMGARTEN, JULIO",,
1970.0,1973.0,1974.0,1975.0,1975,1979,1981.0,1982.0,2,Genética,"RIBEIRO, A. F.","A BACTERIA-DIGESTING MIDGUT-LYSOZYME FROM MUSCA DOMESTICA (DIPTERA) LARVAE. PURIFICATION, PROPERTIES AND SECRETORY MECHANISM",1993,Inglaterra,,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,,23,4,,533,541,Inglaterra,"LEMOS, F. J. A. ;RIBEIRO, A. F. ;TERRA, W. R.",,
