Pesquisador,Inicio GRADUACAO,Fim GRADUACAO,Inicio MESTRADO,Fim MESTRADO,Inicio DOUTORADO,Fim DOUTORADO
219,2011,2016.0,2017.0,2019.0,2019.0,
220,2006,2010.0,2012.0,2015.0,2017.0,
221,2012,2018.0,,,2020.0,
222,2009,2012.0,2013.0,2016.0,2018.0,
223,2007,2011.0,2013.0,2015.0,2017.0,
224,2002,2006.0,2017.0,2019.0,,
225,2009,2011.0,2014.0,2017.0,2017.0,
226,2010,2014.0,2016.0,2019.0,,
227,2002,2006.0,2007.0,2010.0,2021.0,
228,2007,2011.0,2013.0,2015.0,,
229,2010,2016.0,,,2018.0,
230,2014,2019.0,2019.0,2021.0,2021.0,
231,2009,2012.0,2014.0,2016.0,2018.0,
232,2008,2011.0,2014.0,2017.0,2019.0,
233,2013,2017.0,2017.0,2019.0,2020.0,
234,2017,,,,,
235,2011,2016.0,2017.0,2019.0,2019.0,
236,2011,2017.0,2017.0,2019.0,2019.0,
237,2012,2018.0,,,2019.0,
238,2007,2013.0,2015.0,2017.0,2018.0,
239,2021,,2018.0,2020.0,2020.0,
240,2007,2012.0,2016.0,2018.0,2018.0,
241,2012,2016.0,,,2017.0,
242,2010,2013.0,2016.0,2018.0,2018.0,2022.0
243,2009,2014.0,2015.0,2017.0,2017.0,
244,2005,2010.0,2012.0,2015.0,2016.0,
245,2000,2004.0,2014.0,2017.0,2017.0,
246,2006,2006.0,2008.0,2010.0,2017.0,
247,2005,2011.0,2014.0,2018.0,2019.0,
248,2013,2017.0,2018.0,2020.0,,
249,2011,2017.0,2018.0,,,
250,2014,2020.0,,,2021.0,
251,2009,2012.0,2015.0,2017.0,2018.0,
252,2006,2012.0,2014.0,2016.0,2016.0,
253,2008,2009.0,,,2017.0,
254,2013,2017.0,2018.0,2020.0,,
255,2010,2015.0,2016.0,2018.0,2019.0,
256,2008,2011.0,2013.0,2016.0,2018.0,
257,2009,2013.0,2014.0,2016.0,2016.0,
258,2005,2010.0,2016.0,2018.0,2018.0,
259,2009,2014.0,2017.0,2020.0,2020.0,
260,2003,2003.0,2014.0,2016.0,2017.0,
261,2005,2009.0,2011.0,2013.0,2016.0,
262,2011,2015.0,2016.0,2018.0,2018.0,
263,2021,2021.0,2011.0,2013.0,2017.0,
264,2011,2016.0,2019.0,2021.0,2021.0,
265,2013,2017.0,2019.0,2021.0,2021.0,
266,2009,2014.0,2014.0,2016.0,2018.0,
267,2010,2014.0,2018.0,2020.0,2020.0,
268,2010,2013.0,2014.0,2016.0,2016.0,
269,2009,2012.0,2012.0,2015.0,,
270,2012,2016.0,2017.0,2019.0,,
271,2009,2013.0,2013.0,2015.0,2017.0,
272,2008,2011.0,2013.0,2015.0,2018.0,
273,2012,2017.0,2018.0,2021.0,2022.0,
274,2010,2013.0,2014.0,2016.0,2017.0,
275,2010,2014.0,2015.0,2017.0,,
276,2009,2013.0,2015.0,2017.0,2017.0,
277,2013,2017.0,2018.0,2020.0,2020.0,
278,2014,2017.0,2018.0,2020.0,2020.0,
279,2011,2016.0,2017.0,2019.0,2019.0,
280,2010,2014.0,2014.0,2016.0,2018.0,
281,2015,2016.0,,,2020.0,
282,2003,2007.0,2007.0,2009.0,2017.0,
283,2010,2016.0,2017.0,2019.0,2019.0,
284,2007,2011.0,2013.0,2015.0,2018.0,
285,2004,2008.0,,,2018.0,
286,2012,2017.0,2017.0,2020.0,,
287,2001,2009.0,2010.0,2012.0,2019.0,
288,2010,2015.0,2017.0,2019.0,2019.0,
289,2005,2008.0,2009.0,2011.0,2018.0,
290,2012,2016.0,2016.0,2018.0,2021.0,
291,2011,2014.0,2015.0,2017.0,2017.0,
292,2012,2015.0,2016.0,2018.0,2018.0,
293,2011,2016.0,2016.0,2017.0,2017.0,
294,2010,2013.0,2014.0,2017.0,2018.0,
295,2011,2015.0,2016.0,2018.0,2018.0,
296,2005,2009.0,2014.0,2017.0,2018.0,
297,2011,2016.0,2017.0,2019.0,2020.0,
298,2014,2019.0,,,2020.0,
299,2013,2016.0,2017.0,2019.0,2020.0,
300,2011,2016.0,2018.0,2020.0,2020.0,
301,2012,2018.0,2018.0,2021.0,2021.0,
302,2007,2012.0,2014.0,2016.0,2016.0,
303,2010,2013.0,2014.0,2016.0,2018.0,
304,2009,2014.0,2014.0,2016.0,2018.0,
305,2008,2013.0,2013.0,2015.0,2018.0,
306,2014,2018.0,2019.0,2021.0,2021.0,
307,2006,2011.0,2014.0,2017.0,2017.0,
308,2019,,2010.0,2012.0,2016.0,
309,2006,2011.0,2011.0,2015.0,2018.0,
310,2010,2013.0,2014.0,2017.0,2017.0,
311,2012,2015.0,2016.0,2018.0,2019.0,
312,2012,2018.0,2018.0,2020.0,,
313,1992,1996.0,1998.0,2004.0,2016.0,
314,2011,2016.0,2015.0,2018.0,2018.0,
315,2005,2007.0,2013.0,2016.0,2016.0,
316,2003,2006.0,2012.0,2014.0,2020.0,
317,2012,2016.0,2016.0,2018.0,2021.0,
318,2014,2018.0,,,2018.0,
319,2016,2018.0,2019.0,2021.0,2022.0,
320,2015,2019.0,,,2020.0,
321,2008,2013.0,2013.0,2015.0,,
322,2004,2008.0,2010.0,2013.0,2016.0,
323,2011,2014.0,2015.0,2016.0,2017.0,
324,2010,2012.0,2015.0,2018.0,2018.0,
325,2011,2013.0,2014.0,2016.0,2016.0,
326,1999,2002.0,2003.0,2005.0,2015.0,
327,2011,2014.0,2015.0,2016.0,2017.0,
328,2009,2013.0,2014.0,2016.0,2016.0,
329,1975,1978.0,2012.0,2015.0,2016.0,2021.0
330,2011,2016.0,2016.0,2018.0,2019.0,
331,2013,2017.0,2017.0,2019.0,2019.0,
332,2013,2018.0,2018.0,2020.0,2021.0,
333,2010,2014.0,2015.0,2017.0,2019.0,
334,2007,2011.0,2014.0,2016.0,2016.0,2021.0
335,2012,2015.0,,,2019.0,
336,2010,2014.0,2014.0,2016.0,2016.0,
337,2014,2017.0,,,2018.0,
338,2014,2017.0,2018.0,2020.0,2020.0,
339,2013,2017.0,2018.0,2020.0,2020.0,
340,2011,2015.0,2016.0,2018.0,2018.0,
341,2007,2012.0,2014.0,2016.0,2016.0,
