Pesquisador,Inicio GRADUACAO,Fim GRADUACAO,Inicio MESTRADO,Fim MESTRADO,Inicio DOUTORADO,Fim DOUTORADO,Inicio POS-DOUTORADO,Fim POS-DOUTORADO
70,2007,2013,2012.0,2014.0,2014,2018,2019.0,2021.0
145,2002,2005,2007.0,2010.0,2011,2015,2019.0,
146,2007,2011,2011.0,2013.0,2015,2019,2019.0,
147,2007,2010,2012.0,2014.0,2016,2020,2020.0,2021.0
148,2005,2008,2010.0,2013.0,2015,2019,,
149,2007,2012,,,2012,2017,2017.0,
150,2009,2012,,,2013,2018,2018.0,
151,2004,2007,2011.0,2013.0,2014,2018,2019.0,
152,2008,2011,2012.0,2014.0,2014,2018,2020.0,
153,1996,2002,2006.0,2008.0,2009,2013,2018.0,2019.0
154,2005,2008,2011.0,2013.0,2013,2017,2019.0,
155,2005,2010,2010.0,2012.0,2012,2016,2019.0,
156,2006,2008,2009.0,2011.0,2013,2017,2018.0,
157,2004,2008,2010.0,2012.0,2013,2017,2017.0,2018.0
158,2006,2009,2010.0,2012.0,2012,2016,2019.0,2020.0
159,2001,2004,2005.0,2007.0,2008,2011,2018.0,2020.0
160,1999,2003,2006.0,2008.0,2009,2013,2014.0,2018.0
161,2001,2005,2007.0,2010.0,2012,2017,2017.0,
162,2000,2004,2005.0,2007.0,2007,2012,2018.0,
163,2005,2008,2010.0,2012.0,2013,2017,2019.0,
164,2004,2009,2010.0,2013.0,2015,2020,,
165,2006,2009,2010.0,2012.0,2013,2017,2021.0,
166,2007,2010,2011.0,2013.0,2013,2017,2019.0,
167,2007,2010,2011.0,2013.0,2013,2017,2017.0,2018.0
168,2002,2008,2009.0,2011.0,2014,2019,2021.0,
169,2004,2008,2010.0,2012.0,2013,2017,2019.0,2020.0
170,2005,2011,2012.0,2014.0,2014,2018,2019.0,2020.0
171,2008,2012,2013.0,2015.0,2015,2019,2021.0,
172,1996,2001,2002.0,2005.0,2013,2017,,
173,2004,2007,2008.0,2010.0,2011,2015,2017.0,2020.0
174,2004,2006,2008.0,2010.0,2010,2014,2017.0,
175,2006,2009,2010.0,2012.0,2013,2018,2021.0,
176,1999,2004,2008.0,2011.0,2013,2017,2017.0,
177,2005,2008,2009.0,2011.0,2011,2016,2017.0,2021.0
178,2000,2006,2008.0,2010.0,2010,2013,2019.0,2020.0
179,2008,2012,2013.0,2015.0,2016,2020,2020.0,2021.0
180,2009,2012,2013.0,2014.0,2016,2021,2021.0,
181,2000,2004,2005.0,2008.0,2008,2013,2015.0,2015.0
182,2002,2005,2007.0,2009.0,2011,2015,2017.0,2017.0
183,2007,2010,2011.0,2013.0,2013,2017,2018.0,
184,2006,2009,2010.0,2012.0,2012,2016,2017.0,2021.0
185,2009,2012,2013.0,2015.0,2015,2019,2020.0,
186,2008,2011,2012.0,2014.0,2014,2018,2019.0,
187,2005,2008,2009.0,2011.0,2012,2016,2020.0,
188,2003,2006,,,2010,2015,2018.0,
189,2008,2011,2012.0,2014.0,2016,2020,2021.0,
190,2006,2010,2010.0,2012.0,2013,2017,2018.0,
191,2010,2015,,,2016,2021,2021.0,
192,2008,2014,2014.0,2015.0,2015,2019,2019.0,
193,2004,2008,2009.0,2011.0,2012,2016,2016.0,2017.0
194,2006,2009,2010.0,2012.0,2012,2016,2017.0,
195,2009,2012,2013.0,2015.0,2015,2019,2019.0,2021.0
196,2007,2009,2010.0,2012.0,2012,2017,2018.0,
197,2007,2010,2011.0,2014.0,2015,2019,2019.0,
198,1990,1997,2008.0,2010.0,2011,2015,2015.0,2017.0
199,2005,2009,2010.0,2011.0,2011,2014,2014.0,
200,2009,2012,2013.0,2015.0,2015,2020,2020.0,
201,2009,2014,,,2014,2019,2019.0,
202,2005,2008,2010.0,2012.0,2014,2014,2017.0,
203,2007,2010,2011.0,2013.0,2013,2017,2019.0,
204,2008,2012,2012.0,2014.0,2014,2018,2020.0,
205,2003,2006,2007.0,2010.0,2010,2015,2017.0,
206,1999,2003,2005.0,2006.0,2013,2017,2019.0,
207,2003,2006,2007.0,2009.0,2009,2012,2018.0,2019.0
208,2006,2011,2012.0,2014.0,2015,2019,2019.0,
209,2001,2005,,,2015,2020,2021.0,
210,2008,2012,2012.0,2014.0,2015,2019,2021.0,
211,2004,2009,2010.0,2013.0,2013,2017,2018.0,
212,2004,2007,2008.0,2010.0,2010,2014,2020.0,2021.0
213,2001,2005,2008.0,2011.0,2013,2018,2018.0,2019.0
214,2006,2010,2011.0,2013.0,2013,2017,2019.0,
215,2003,2006,2009.0,2011.0,2015,2019,2021.0,
216,2001,2006,2009.0,2012.0,2012,2016,2017.0,2021.0
217,1997,2001,2002.0,2005.0,2007,2013,2018.0,
218,2002,2006,2006.0,2009.0,2010,2014,2018.0,2019.0
