Pesquisador,Inicio GRADUACAO,Fim GRADUACAO,Inicio MESTRADO,Fim MESTRADO,Inicio DOUTORADO,Fim DOUTORADO,Inicio POS-DOUTORADO,Fim POS-DOUTORADO
1,1987.0,1990.0,1993.0,1996.0,1996,2002,2004.0,2006.0
2,1970.0,1973.0,1974.0,1975.0,1975,1979,1981.0,1982.0
3,2000.0,2004.0,2004.0,2006.0,2006,2011,2022.0,
4,1986.0,1991.0,,,1992,1997,,
5,2007.0,2011.0,2011.0,2013.0,2013,2017,2017.0,2019.0
6,1975.0,1978.0,1980.0,1984.0,1988,1993,,
7,2002.0,2005.0,2006.0,2008.0,2008,2011,2012.0,2014.0
8,1990.0,1993.0,1994.0,1996.0,1997,2001,2001.0,2005.0
9,1979.0,1983.0,1985.0,1991.0,1994,1997,,
10,1966.0,1969.0,1971.0,1973.0,1973,1974,1982.0,1984.0
11,1993.0,1996.0,1997.0,1999.0,1999,2003,2003.0,2006.0
12,1993.0,1997.0,1998.0,2000.0,2001,2006,2006.0,2007.0
13,,,,,1995,2000,2008.0,2010.0
14,1987.0,1990.0,1991.0,1993.0,1993,1997,1998.0,2000.0
15,1979.0,1984.0,1987.0,1989.0,1990,1995,,
16,1967.0,1971.0,1974.0,1977.0,1977,1979,1983.0,1983.0
17,1977.0,1980.0,1982.0,1984.0,1984,1989,,
18,1990.0,1993.0,1994.0,1996.0,1997,2001,2002.0,2003.0
19,1999.0,2002.0,2003.0,2005.0,2008,2012,2013.0,2013.0
20,1977.0,1981.0,1982.0,1984.0,1985,1989,1990.0,1991.0
21,1980.0,1984.0,1984.0,1989.0,1990,1995,1995.0,1996.0
22,1990.0,1993.0,1994.0,1996.0,1998,2002,,
23,1968.0,1971.0,,,1974,1981,2007.0,2007.0
24,1990.0,1993.0,1995.0,1998.0,1999,2004,2004.0,2007.0
25,1989.0,1992.0,1995.0,1998.0,1999,2004,2005.0,2008.0
26,2001.0,2004.0,2006.0,2008.0,2009,2014,2014.0,2017.0
27,1987.0,1991.0,1999.0,2001.0,2002,2006,2016.0,
28,2001.0,2004.0,2006.0,2008.0,2008,2012,2013.0,2014.0
29,1993.0,1999.0,2000.0,2002.0,2003,2007,2007.0,2010.0
30,1986.0,1990.0,1990.0,1993.0,1993,1996,1996.0,1998.0
31,2001.0,2003.0,2004.0,2006.0,2006,2011,2011.0,2013.0
